movie_id,tmdbId,cast,director
37,139405,"[('Tomas Minton', 'Peter Reznick'), ('Freighter Chief', 'John McDonough'), ('Seaman', 'Avi Hoffman')]",Stephen Low
38,33689,"[('Diane Barrows', 'Kirstie Alley'), ('Roger Callaway', 'Steve Guttenberg'), ('Alyssa Callaway / Amanda Lemmon', 'Ashley Olsen')]",Andy Tennant
39,9603,"[('Cher Horowitz', 'Alicia Silverstone'), ('Dionne', 'Stacey Dash'), ('Tai', 'Brittany Murphy')]",Amy Heckerling
40,34615,"[('Rev. Stephen Kumalo', 'James Earl Jones'), ('John Kumalo', 'Charles S. Dutton'), ('Ian Jarvis', 'Jack Robinson')]",Darrell James Roodt
41,31174,"[('Richard III', 'Ian McKellen'), ('Elizabeth', 'Annette Bening'), ('The Duke of Buckingham', 'Jim Broadbent')]",Richard Loncraine
42,11443,"[('Anthony Curtis', 'Larenz Tate'), ('Kirby', 'Keith David'), ('Skip', 'Chris Tucker')]",Albert Hughes
43,35196,"[('Robert Merivel', 'Robert Downey Jr.'), ('Katharine', 'Meg Ryan'), ('King Charles II', 'Sam Neill')]",Michael Hoffman
44,9312,"[('Lord Rayden', 'Christopher Lambert'), ('Liu Kang', 'Robin Shou'), ('Johnny Cage', 'Linden Ashby')]",Paul W.S. Anderson
45,577,"[('Suzanne Stone Maretto', 'Nicole Kidman'), ('Larry Maretto', 'Matt Dillon'), ('Jimmy Emmett', 'Joaquin Phoenix')]",Gus Van Sant
46,11861,"[('Finn Dodd', 'Winona Ryder'), ('Glady Joe Cleary', 'Anne Bancroft'), ('Hy Dodd', 'Ellen Burstyn')]",Jocelyn Moorhouse
47,807,"[('Detective David Mills', 'Brad Pitt'), ('Detective Lt. William Somerset', 'Morgan Freeman'), ('Tracy Mills', 'Gwyneth Paltrow')]",David Fincher
48,10530,"[('Pocahontas (voice)', 'Irene Bedard'), ('John Smith (voice)', 'Mel Gibson'), ('Governor Ratcliffe (voice)', 'David Ogden Stiers')]",Mike Gabriel
49,8391,"[('Camille Baker', 'Pascale Bussières'), ('Petra', 'Rachael Crawford'), ('Martin', 'Henry Czerny')]",Patricia Rozema
50,629,"[('Michael McManus', 'Stephen Baldwin'), ('Dean Keaton', 'Gabriel Byrne'), ('US Customs Agent Dave Kujan', 'Chazz Palminteri')]",Bryan Singer
51,117164,"[('Cynthia Mckay', 'Cynthia Rothrock'), ('', 'Marshall R. Teague'), ('', 'Daniel McVicar')]",Richard W. Munchkin
52,11448,"[('Lenny', 'Woody Allen'), ('Linda Ash', 'Mira Sorvino'), ('Amanda', 'Helena Bonham Carter')]",Woody Allen
53,49133,"[('Gino', 'Enrico Lo Verso'), ('Fiore', 'Michele Placido'), ('Selimi', 'Piro Milkani')]",Gianni Amelio
54,26441,"[('Sheriff Tom Palmer', 'Steve Guttenberg'), ('Miss Anna Mongomery', ""Olivia d'Abo""), ('Coach Jay Huffer', 'Jay O. Sanders')]",Holly Goldberg Sloan
55,97406,"[('Sadie Flood', 'Jennifer Jason Leigh'), ('Georgia Flood', 'Mare Winningham'), ('Jake', 'Ted Levine')]",Ulu Grosbard
56,124057,"[('Alex Cole', 'Johnny Morina'), ('Merlin', 'Malcolm McDowell'), ('Jenny', 'Maggie Castle')]",Robert Tinnell
57,9089,"[('Claudia Larson', 'Holly Hunter'), ('Tommy Larson', 'Robert Downey Jr.'), ('Adele Larson', 'Anne Bancroft')]",Jodie Foster
58,11010,"[('Pablo Neruda', 'Philippe Noiret'), ('Mario Ruoppolo', 'Massimo Troisi'), ('Beatrice Russo', 'Maria Grazia Cucinotta')]",Michael Radford
59,99040,"[('Pierre Lamontagne', 'Lothaire Bluteau'), ('Marc Lamontagne', 'Patrick Goyette'), ('Raymond Massicotte', 'Jean-Louis Millette')]",Robert Lepage
60,11359,"[('Omri', 'Hal Scardino'), ('Little Bear', 'Litefoot'), ('Jane', 'Lindsay Crouse')]",Frank Oz
61,17182,"[('Karen McCann', 'Sally Field'), ('Robert Doob', 'Kiefer Sutherland'), ('Mack McCann', 'Ed Harris')]",John Schlesinger
62,2054,"[('Glenn Holland', 'Richard Dreyfuss'), ('Iris Holland', 'Glenne Headly'), ('Bill Meister', 'Jay Thomas')]",Stephen Herek
63,10607,"[('Ashtray', 'Shawn Wayans'), ('Loc Dog', 'Marlon Wayans'), ('Dashiki', 'Tracey Cherelle Jones')]",Paris Barclay
64,19760,"[('Roz', 'Sandra Bullock'), (""Francis 'Frank' O'Brien"", 'Denis Leary'), (""FBI Agent O'Malley"", 'Yaphet Kotto')]",Bill Bennett
65,9536,"[('Bud Macintosh', 'Pauly Shore'), ('Doyle Johnson', 'Stephen Baldwin'), ('Monique (as Joey Adams)', 'Joey Lauren Adams')]",Jason Bloom
66,11525,"[('Dr. Benjamin Trace', 'Patrick Bergin'), ('Jobe Smith', 'Matt Frewer'), ('Peter Parkette', ""Austin O'Brien"")]",Farhad Mann
67,40628,"[('Gennaro Spirito', 'Jerry Barone'), ('Gitano Sabatoni', 'Al Pacino'), ('Luisa Spirito', 'Mary Elizabeth Mastrantonio')]",James Foley
68,4482,"[('Loli', 'Victoria Abril'), ('Marijo', 'Josiane Balasko'), ('Laurent Lafaye', 'Alain Chabat')]",Josiane Balasko
69,10634,"[('Craig Jones', 'Ice Cube'), ('Smokey', 'Chris Tucker'), ('Debbie', 'Nia Long')]",F. Gary Gray
70,755,"[('Seth Gecko', 'George Clooney'), ('Richard Gecko', 'Quentin Tarantino'), ('Jacob Fuller', 'Harvey Keitel')]",Robert Rodriguez
71,11859,"[('Max Kirkpatrick', 'William Baldwin'), ('Kate McQueen', 'Cindy Crawford'), ('Colonel Ilya Kazak', 'Steven Berkoff')]",Andrew Sipes
72,28387,"[('Grover', 'Josh Hamilton'), ('Jane', ""Olivia d'Abo""), ('Otis', 'Carlos Jacott')]",Noah Baumbach
73,48750,"[('Henri Fortin / Jean Valjean', 'Jean-Paul Belmondo'), ('André Ziman', 'Michel Boujenah'), ('Elise Ziman', 'Alessandra Martines')]",Claude Lelouch
74,20927,"[('Lewis Farrell', 'Christian Slater'), ('Lisa Walker', 'Mary Stuart Masterson'), ('Kim / Pamela Segall', 'Pamela Adlon')]",Michael Goldenberg
75,36929,"[('David Leary', 'Rick Moranis'), ('Rosco Bigger - Fang', 'Tom Arnold'), ('Victoria Tucker', 'Julianne Phillips')]",Steve Miner
76,9102,"[('Colonel Hendricksson', 'Peter Weller'), ('Becker', 'Roy Dupuis'), ('Jessica', 'Jennifer Rubin')]",Christian Duguay
77,124626,"[('Herself', 'Nico'), ('Herself', 'Tina Aumont'), ('Himself', 'Jackson Browne')]",Susanne Ofteringer
78,27526,"[('Freddy Gale', 'Jack Nicholson'), ('John Booth', 'David Morse'), ('Mary', 'Anjelica Huston')]",Sean Penn
79,9623,"[('Annie Laird', 'Demi Moore'), ('Teacher', 'Alec Baldwin'), ('Oliver Laird', 'Joseph Gordon-Levitt')]",Brian Gibson
80,46785,"[('Razieh', 'Aida Mohammadkhani'), ('Ali', 'Mohsen Kafili'), ('Mother', 'Fereshteh Sadre Orafaiy')]",Jafar Panahi
81,400,"[(""Jimmy 'The Saint' Tosnia"", 'Andy García'), ('Pieces', 'Christopher Lloyd'), ('Franchise', 'William Forsythe')]",Gary Fleder
82,880,"[('Antonia', 'Willeke van Ammelrooy'), ('Danielle', 'Els Dottermans'), ('Allegonde', 'Dora van der Groen')]",Marleen Gorris
83,146599,"[('Poppa', 'Al Freeman, Jr.'), ('Ma Ponk', 'Phylicia Rashād'), ('Ma Pearl', 'Paula Kelly')]",Tim Reid
84,188588,"[('Oona Hart', 'Victoria Foyt'), ('Helena Mora', 'Viveca Lindfors'), ('Jake Axelrod', 'Jon Robin Baitz')]",Henry Jaglom
85,8447,"[('William Adamson', 'Mark Rylance'), ('Matty Crompton', 'Kristin Scott Thomas'), ('Eugenia Alabaster Adamson', 'Patsy Kensit')]",Philip Haas
86,10534,"[(""Captain Christopher 'Skipper' Sheldon"", 'Jeff Bridges'), ('Dr. Alice Sheldon', 'Caroline Goodall'), ('McCrea, Albatross Crewman', 'John Savage')]",Ridley Scott
87,17414,"[('Robert Grant', 'Jason Alexander'), ('Mrs. Dubrow', 'Faye Dunaway'), ('Kyle Grant', 'Eric Lloyd')]",Ken Kwapis
88,13997,"[('Mike Donnelly', 'Chris Farley'), ('Steve Dodds', 'David Spade'), ('Robbie Mieghem', 'Grant Heslov')]",Penelope Spheeris
89,2086,"[('Gene Watson', 'Johnny Depp'), ('Lynn Watson', 'Courtney Chase'), ('Hucy', 'Charles S. Dutton')]",John Badham
90,61548,"[('August King', 'Jason Patric'), ('Annalees', 'Thandie Newton'), ('Olaf Singletary', 'Larry Drake')]",John Duigan
92,9095,"[('Mary Reilly', 'Julia Roberts'), ('Dr. Henry Jekyll / Edward Hyde', 'John Malkovich'), ('Der Butler Mr. Poole', 'George Cole')]",Stephen Frears
93,12158,"[('Maximillian | Pauly | Guido', 'Eddie Murphy'), ('Detective Rita Veder', 'Angela Bassett'), ('Detective Justice', 'Allen Payne')]",Wes Craven
94,9283,"[(""Tommy 'Birdman' Rowland"", 'Matt Dillon'), (""Michael 'Mo' Morris"", 'Noah Emmerich'), ('Tracy Stover', 'Annabeth Gish')]",Ted Demme
95,9208,"[(""Maj. Vic 'Deak' Deakins"", 'John Travolta'), ('Capt. Riley Hale', 'Christian Slater'), ('Terry Carmichael', 'Samantha Mathis')]",John Woo
96,40154,"[('Henry', 'Richard Briers'), ('Margaretta', 'Joan Collins'), ('Joe', 'Michael Maloney')]",Kenneth Branagh
97,406,"[('Vinz', 'Vincent Cassel'), ('Hubert', 'Hubert Koundé'), ('Saïd', 'Saïd Taghmaoui')]",Mathieu Kassovitz
98,45549,"[('Jo', 'Sadie Frost'), ('Billy', 'Jude Law'), ('Tommy', 'Sean Pertwee')]",Paul W.S. Anderson
99,63076,"[('Narrator', 'Nick Broomfield'), ('Herself', 'Heidi Fleiss'), ('Herself', 'Madam Alex')]",Nick Broomfield
100,11062,"[('Mayor John Pappas', 'Al Pacino'), ('Deputy Mayor Kevin Calhoun', 'John Cusack'), ('Marybeth Cogan', 'Bridget Fonda')]",Harold Becker
101,13685,"[('Anthony Adams', 'Luke Wilson'), ('Dignan', 'Owen Wilson'), ('Inez', 'Lumi Cavazos')]",Wes Anderson
102,47475,"[('Martha Alston', 'Ellen DeGeneres'), ('Whitman Crawford', 'Bill Pullman'), ('Inga Gunther', 'Joan Cusack')]",Nick Castle
103,2045,"[('Dr. David Krane', 'Ray Liotta'), ('Dr. Martha Briggs', 'Linda Fiorentino'), ('Don Bresler', 'Peter Coyote')]",John Dahl
104,9614,"[('Happy Gilmore', 'Adam Sandler'), ('Hal L. - Orderly in Nursing Home (uncredited)', 'Ben Stiller'), ('Shooter McGavin', 'Christopher McDonald')]",Dennis Dugan
105,688,"[('Francesca Johnson', 'Meryl Streep'), ('Robert Kincaid', 'Clint Eastwood'), ('Caroline Johnson', 'Annie Corley')]",Clint Eastwood
106,11907,"[('Fanny Fink', 'Maria Schrader'), ('Orfeo de Altamar', 'Pierre Sanoussi-Bliss'), ('Lothar Sticker', 'Michael von Au')]",Doris Dörrie
107,10874,"[('Long John Silver', 'Tim Curry'), ('Jim Hawkins', 'Kevin Bishop'), ('Mrs. Bluveridge', 'Jennifer Saunders')]",Brian Henson
108,89333,"[('Herself', 'Christy Turlington'), ('Himself', 'Azzedine Alaïa'), ('Himself', 'Giorgio Armani')]",Robert Leacock
109,96357,"[('Man', 'Raymond J. Barry'), ('Vic Palmieri', 'Rustam Branaman'), ('Candy', 'Jennifer MacDonald')]",James Bruce
110,197,"[('William Wallace', 'Mel Gibson'), ('Murron MacClannough', 'Catherine McCormack'), ('Princess Isabelle', 'Sophie Marceau')]",Mel Gibson
111,103,"[('Travis Bickle', 'Robert De Niro'), ('Betsy', 'Cybill Shepherd'), (""'Sport' Matthew"", 'Harvey Keitel')]",Martin Scorsese
112,33542,"[('Keung', 'Jackie Chan'), ('Elaine', 'Anita Mui'), ('Nancy', 'Françoise Yip')]",Stanley Tong
113,43566,"[('Dr. Carolyn Ryan', 'Meryl Streep'), ('Ben Ryan', 'Liam Neeson'), ('Jacob Ryan', 'Edward Furlong')]",Barbet Schroeder
114,71754,"[('Margaret MacNeil', 'Helena Bonham Carter'), ('Neil Currie', 'Clive Russell'), ('Jimmy MacNeil', 'Craig Olejnik')]",Mort Ransen
115,43612,"[('Francis Bergeade', 'Michel Serrault'), (""Gérard 'Gégé' Tilier"", 'Eddy Mitchell'), ('Nicole Bergeade', 'Sabine Azéma')]",Étienne Chatiliez
116,51352,"[('Narration (voice)', 'Kenneth Branagh'), ('Diary Readings (voice)', 'Glenn Close')]",Jon Blair
117,16934,"[('Young Graham', 'Tobias Arnold'), ('Molly', 'Ruth Sheen'), ('Fred', 'Roger Lloyd Pack')]",Benjamin Ross
118,10324,"[('Lucy', 'Sarah Jessica Parker'), ('Jane', 'Elle Macpherson'), ('Emily', 'Scarlett Johansson')]",Eric Schaeffer
119,78406,"[('Ruben Martinez / Robby Martin', 'Andy García'), ('Lou Perilli', 'Alan Arkin'), ('Laura', 'Rachel Ticotin')]",Andrew Davis
120,55731,"[('Miss Sandra Beecher', 'Halle Berry'), ('Frank Machi', 'Jim Belushi'), ('Daniel Webster', 'Casey Affleck')]",Charles T. Kanganis
121,32119,"[('Brother Peter Lavin', 'Henry Czerny'), ('', 'Johnny Morina'), ('', 'Brian Dooley')]",John N. Smith
122,11066,"[('Marcus Graham', 'Eddie Murphy'), (""Jacqueline 'Jackie / Jack' Broyer"", 'Robin Givens'), ('Angela Lewis', 'Halle Berry')]",Reginald Hudlin
123,11104,"[('Woman in blonde wig', 'Brigitte Lin'), ('Policeman 663', 'Tony Leung Chiu-Wai'), ('Faye', 'Faye Wong')]",Wong Kar-wai
124,37975,"[('Joe Morelli', 'Sergio Castellitto'), ('Beata', 'Tiziana Lodato'), ('Brigadiere Mastropaolo', 'Franco Scaldati')]",Giuseppe Tornatore
125,2074,"[('Mel Coplin', 'Ben Stiller'), ('Nancy Coplin', 'Patricia Arquette'), ('Tina Kalb', 'Téa Leoni')]",David O. Russell
126,27793,"[('Bastian Bux', 'Jason James Richter'), ('Nicole', 'Melody Kay'), ('Barney Bux', 'Kevin McNulty')]",Peter MacDonald
127,44284,"[('Khedija', 'Amel Hedhili'), ('Khalti Hadda', 'Najia Ouerghi'), ('Mroubia', 'Fatima Ben Saïdane')]",Moufida Tlatli
128,290157,"[('Herself', 'Maggie Cogan')]",Michel Negroponte
129,110972,"[('Charlie Dunlap', 'Josh Charles'), ('Amy', 'Anne Heche'), ('Alan Davenport', 'John Goodman')]",Bryan Gordon
130,32622,"[('', 'Miranda Rhyne'), ('', 'Charlotte Eve Blythe'), ('Mae', 'Anna Levine')]",Rebecca Miller
131,73067,"[('Terry Klout', 'Matt Dillon'), ('Frank Bois', 'Corban Walker'), ('Jack Kelly', 'Gabriel Byrne')]",Michael Lindsay-Hogg
132,11863,"[('David Corelli', 'David Caruso'), ('Katrina Gavin', 'Linda Fiorentino'), ('Matt Gavin', 'Chazz Palminteri')]",William Friedkin
133,55475,"[('Balbuena', 'Luisito Marti'), ('Chef', 'Alfonso Zayas'), ('Nancy', 'Caridad Ravelo')]",Ángel Muñiz
134,124636,"[('', 'Lloyd Dunn'), ('', 'Chris Grigg'), ('', 'Mark Hosler')]",Craig Baldwin
135,9101,"[('Lt. Commander Thomas ""Tom"" Dodge', 'Kelsey Grammer'), ('Lt. Emily Lake', 'Lauren Holly'), ('Executive Officer Lt. Martin T. ""Marty"" Pascal', 'Rob Schneider')]",David S. Ward
136,123360,"[('Herself', 'Jean Seberg'), ('Jean Seberg', 'Mary Beth Hurt')]",Mark Rappaport
137,5757,"[('Dirk', 'Dirk Shafer'), ('Angela Lucassy', 'Mary Stein'), ('Tammy Shafer', 'Claudette Sutherland')]",Dirk Shafer
138,39428,"[('David (Aged 15)', 'Jacob Tierney'), ('David (Aged 10)', 'Drake Bell'), ('Mae Morgan', 'Gena Rowlands')]",Terence Davies
139,124639,[],Sandip Ray
140,9302,"[('Warren Justice', 'Robert Redford'), ('Tally Atwater', 'Michelle Pfeiffer'), ('Marcia McGrath', 'Stockard Channing')]",Jon Avnet
141,11000,"[('Armand Goldman', 'Robin Williams'), ('Sen. Kevin Keeley', 'Gene Hackman'), ('Albert Goldman', 'Nathan Lane')]",Mike Nichols
142,-1,[],
143,249882,"[('Father Jozo Zovko', 'Martin Sheen'), ('Milan Vukovic', 'Michael York'), ('Sister Fabijana Zovko', 'Morgan Fairchild')]",Jakov Sedlar
144,16388,"[('Susan', 'Shari Albert'), ('Audrey', 'Maxine Bahns'), ('Mrs McMullen', 'Catharine Bolz')]",Edward Burns
145,9737,"[('Detective Mike Lowrey', 'Will Smith'), ('Detective Marcus Burnett', 'Martin Lawrence'), ('Julie Mott', 'Téa Leoni')]",Michael Bay
146,30765,"[('Michael Tyler', 'Stephen Lang'), ('Ryan Tyler', 'Ryan Slater'), ('Ling', 'Yi Ding')]",Christopher Cain
147,10474,"[('Jim Carroll', 'Leonardo DiCaprio'), (""Jim's Mother"", 'Lorraine Bracco'), ('Pedro', 'James Madio')]",Scott Kalvert
148,22279,"[(""P.L. O'Hara"", 'Alan Rickman'), ('Meredith Potter', 'Hugh Grant'), ('Stella', 'Georgina Cates')]",Mike Newell
149,30157,"[('Isabelle', 'Isabelle Huppert'), ('Thomas Ludens', 'Martin Donovan'), ('Sofia Ludens', 'Elina Löwensohn')]",Hal Hartley
150,568,"[('Jim Lovell', 'Tom Hanks'), ('Fred Haise', 'Bill Paxton'), ('Jack Swigert', 'Kevin Bacon')]",Ron Howard
151,11780,"[('Robert Roy MacGregor (Rob Roy)', 'Liam Neeson'), ('Mary MacGregor', 'Jessica Lange'), ('John Graham (Marquis of Montrose)', 'John Hurt')]",Michael Caton-Jones
152,34996,"[('Kathleen Conklin', 'Lili Taylor'), ('Peina', 'Christopher Walken'), ('Casanova', 'Annabella Sciorra')]",Abel Ferrara
153,414,"[('Bruce Wayne / Batman', 'Val Kilmer'), ('Harvey Dent / Two-Face', 'Tommy Lee Jones'), ('Edward Nygma / The Riddler', 'Jim Carrey')]",Joel Schumacher
154,649,"[('Séverine Serizy', 'Catherine Deneuve'), ('Henri Husson', 'Michel Piccoli'), ('Pierre Serizy', 'Jean Sorel')]",Luis Buñuel
155,1873,"[('Laura Bowman', 'Patricia Arquette'), ('Andy Bowman', 'Frances McDormand'), ('U Aung Ko', 'U Aung Ko')]",John Boorman
156,5894,"[('Auggie Wren', 'Harvey Keitel'), ('Man with Strange Glasses', 'Lou Reed'), ('Pete Maloney', 'Michael J. Fox')]",Paul Auster
157,1775,"[('Sheriff Bud B. Boomer', 'John Candy'), ('U.S. President', 'Alan Alda'), ('Deputy Honey', 'Rhea Perlman')]",Michael Moore
158,8839,"[(""Kathleen 'Kat' Harvey"", 'Christina Ricci'), ('Dr. James Harvey', 'Bill Pullman'), ('Carrigan Crittenden', 'Cathy Moriarty')]",Brad Silberling
159,20649,"[('Det. Rocco Klein', 'Harvey Keitel'), ('Det. Larry Mazilli', 'John Turturro'), ('Rodney Little', 'Delroy Lindo')]",Spike Lee
160,10329,"[('Dr. Karen Ross', 'Laura Linney'), ('Dr. Peter Elliot', 'Dylan Walsh'), ('Captain Munro Kelly', 'Ernie Hudson')]",Frank Marshall
161,8963,"[('Lt. Commander Ron Hunter', 'Denzel Washington'), ('Captain Frank Ramsey', 'Gene Hackman'), ('Lt. Roy Zimmer, USS Alabama Communications Officer', 'Matt Craven')]",Tony Scott
162,26564,"[('Himself', 'Robert Crumb'), ('Herself', 'Aline Kominsky'), ('Himself', 'Charles Crumb')]",Terry Zwigoff
163,8068,"[('El Mariachi', 'Antonio Banderas'), ('Carolina', 'Salma Hayek'), ('Bucho', 'Joaquim de Almeida')]",Robert Rodriguez
164,8512,"[(""Ezekiel 'Easy' Rawlins"", 'Denzel Washington'), ('DeWitt Albright', 'Tom Sizemore'), ('Daphne Monet', 'Jennifer Beals')]",Carl Franklin
165,1572,"[('John McClane', 'Bruce Willis'), ('Simon Peter Gruber', 'Jeremy Irons'), ('Zeus Carver', 'Samuel L. Jackson')]",John McTiernan
166,13552,"[('Amy Blue', 'Rose McGowan'), ('Jordan White', 'James Duval'), ('Xavier Red', 'Johnathon Schaech')]",Gregg Araki
167,259209,"[('Bella Ford', 'Embeth Davidtz'), ('Ben Wainwright', 'Tom Bell'), ('Mrs. Wainwright', 'Gemma Jones')]",Christopher Menaul
168,6520,"[('King Arthur', 'Sean Connery'), ('Lancelot', 'Richard Gere'), ('Guinevere', 'Julia Ormond')]",Jerry Zucker
169,9073,"[('Jesse', 'Jason James Richter'), ('Glen Greenwood', 'Michael Madsen'), ('Annie Greenwood', 'Jayne Atkinson')]",Dwight H. Little
170,10428,"[(""Dade Murphy / 'Crash Override' / 'Zero Cool'"", 'Jonny Lee Miller'), (""Kate Libby / 'Acid Burn'"", 'Angelina Jolie'), ('Joey Pardella', 'Jesse Bradford')]",Iain Softley
171,17447,"[('Jeffrey', 'Steven Weber'), ('Sterling', 'Patrick Stewart'), ('Steve Howard', 'Michael T. Weiss')]",Christopher Ashley
172,9886,"[('Johnny Mnemonic', 'Keanu Reeves'), ('Jane', 'Dina Meyer'), ('Takahashi', 'Takeshi Kitano')]",Robert Longo
173,9482,"[('Judge Joseph Dredd', 'Sylvester Stallone'), ('Judge Hershey', 'Diane Lane'), ('Rico', 'Armand Assante')]",Danny Cannon
174,19326,"[('Tommy Collins', 'Pauly Shore'), ('Monica', 'Tia Carrere'), ('Frank', 'Stanley Tucci')]",John Fortenberry
