movie_id,title,director,actors,synopsis,genres,poster,year
17,Sense and Sensibility,Ang Lee,"[('Marianne Dashwood', 'Kate Winslet'), ('Elinor Dashwood', 'Emma Thompson'), ('Edward Ferrars', 'Hugh Grant')]","Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","['Drama', 'Romance']",/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,1995
18,Four Rooms,Allison Anders,"[('Ted the Bellhop', 'Tim Roth'), ('Man', 'Antonio Banderas'), ('Angela', 'Jennifer Beals')]",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,['Thriller'],/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,1995
19,Ace Ventura: When Nature Calls,Steve Oedekerk,"[('Ace Ventura', 'Jim Carrey'), ('Fulton Greenwall', 'Ian McNeice'), ('Vincent Cadby', 'Simon Callow')]","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",['Comedy'],/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,1995
20,Money Train,Joseph Ruben,"[('John', 'Wesley Snipes'), ('Charlie', 'Woody Harrelson'), ('Grace Santiago', 'Jennifer Lopez')]","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",['Action'],/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,1995
21,Get Shorty,Barry Sonnenfeld,"[('Chili Palmer', 'John Travolta'), ('Harry Zimm', 'Gene Hackman'), ('Karen Flores', 'Rene Russo')]","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","['Action', 'Comedy', 'Drama']",/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,1995
22,Copycat,Jon Amiel,"[('Helen Hudson', 'Sigourney Weaver'), ('M.J. Monahan', 'Holly Hunter'), ('Nico Letti', 'Will Patton')]",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"['Crime', 'Drama', 'Thriller']",/80czeJGSoik22fhtUM9WzyjUU4r.jpg,1995
23,Assassins,Richard Donner,"[('Robert Rath', 'Sylvester Stallone'), ('Miguel Bain', 'Antonio Banderas'), ('Electra', 'Julianne Moore')]","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",['Thriller'],/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,1995
24,Powder,Victor Salva,"[('Jessie Caldwell', 'Mary Steenburgen'), (""Jeremy 'Powder' Reed"", 'Sean Patrick Flanery'), ('Sheriff Doug Barnum', 'Lance Henriksen')]","Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","['Drama', 'Sci-Fi']",/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,1995
25,Leaving Las Vegas,Mike Figgis,"[('Ben Sanderson', 'Nicolas Cage'), ('Sera', 'Elisabeth Shue'), ('Yuri', 'Julian Sands')]","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","['Drama', 'Romance']",/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,1995
26,Othello,Oliver Parker,"[('Othello', 'Laurence Fishburne'), ('Desdemona', 'Irène Jacob'), ('Iago', 'Kenneth Branagh')]",The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,['Drama'],/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,1995
27,Now and Then,Lesli Linka Glatter,"[('Young Roberta Martin', 'Christina Ricci'), ('Dr. Roberta Martin', ""Rosie O'Donnell""), ('Teeny', 'Thora Birch')]","Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",['Drama'],/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,1995
28,Persuasion,Roger Michell,"[('Anne Elliott', 'Amanda Root'), ('Captain Frederick Wentworth', 'Ciarán Hinds'), ('Lady Russell', 'Susan Fleetwood')]","This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",['Romance'],/si8911IezMvAnQFDvyg1nKzDlD.jpg,1995
29,"City of Lost Children, The",Jean-Pierre Jeunet,"[('One', 'Ron Perlman'), ('Scaphandrier / Les Clones', 'Dominique Pinon'), ('Miette', 'Judith Vittet')]","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","['Adventure', 'Sci-Fi']",/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Zhang Yimou,"[('Xiao Jingbao', 'Gong Li'), ('Tang, the Gang Boss', 'Li Bao-Tian'), ('Shuisheng, the boy', 'Wang Xiaoxiao')]",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,['Drama'],/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,1995
31,Dangerous Minds,John N. Smith,"[('Louanne Johnson', 'Michelle Pfeiffer'), ('Hal Griffith', 'George Dzundza'), ('George Grandey', 'Courtney B. Vance')]","Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",['Drama'],/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,1995
32,Twelve Monkeys,Terry Gilliam,"[('James Cole', 'Bruce Willis'), ('Dr. Kathryn Railly', 'Madeleine Stowe'), ('Jeffrey Goines', 'Brad Pitt')]","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","['Drama', 'Sci-Fi']",/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,1995
33,Wings of Courage,Jean-Jacques Annaud,"[('Henri Guillaumet', 'Craig Sheffer'), ('Noëlle Guillaumet', 'Elizabeth McGovern'), ('Antoine de Saint-Exupery', 'Tom Hulce')]",,"['Adventure', 'Romance']",/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg,1995
34,Babe,Chris Noonan,"[('Babe the Gallant Pig (voice)', 'Christine Cavanaugh'), ('Fly the Female Sheepdog (voice)', 'Miriam Margolyes'), ('Ferdinand the Duck (voice)', 'Danny Mann')]","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","[""Children's"", 'Comedy', 'Drama']",/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,1995
35,Carrington,Christopher Hampton,"[('Dora Carrington', 'Emma Thompson'), ('Lytton Strachey', 'Jonathan Pryce'), ('Ralph Partridge', 'Steven Waddington')]","The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.","['Drama', 'Romance']",/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,1995
36,Dead Man Walking,Tim Robbins,"[('Sister Helen Prejean', 'Susan Sarandon'), ('Matthew Poncelet', 'Sean Penn'), ('Hilton Barber', 'Robert Prosky')]",A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,['Drama'],/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,1995
37,Across the Sea of Time,Stephen Low,"[('Tomas Minton', 'Peter Reznick'), ('Freighter Chief', 'John McDonough'), ('Seaman', 'Avi Hoffman')]","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",['Documentary'],/lKOAyy098yjoot8cutYsStVO1WS.jpg,1995
38,It Takes Two,Andy Tennant,"[('Diane Barrows', 'Kirstie Alley'), ('Roger Callaway', 'Steve Guttenberg'), ('Alyssa Callaway / Amanda Lemmon', 'Ashley Olsen')]","Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",['Comedy'],/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,1995
39,Clueless,Amy Heckerling,"[('Cher Horowitz', 'Alicia Silverstone'), ('Dionne', 'Stacey Dash'), ('Tai', 'Brittany Murphy')]","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","['Comedy', 'Romance']",/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,1995
40,"Cry, the Beloved Country",Darrell James Roodt,"[('Rev. Stephen Kumalo', 'James Earl Jones'), ('John Kumalo', 'Charles S. Dutton'), ('Ian Jarvis', 'Jack Robinson')]",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,['Drama'],/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,1995
41,Richard III,Richard Loncraine,"[('Richard III', 'Ian McKellen'), ('Elizabeth', 'Annette Bening'), ('The Duke of Buckingham', 'Jim Broadbent')]",Shakespeare's Play transplanted into a 1930s setting.,"['Drama', 'War']",/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,1995
42,Dead Presidents,Albert Hughes,"[('Anthony Curtis', 'Larenz Tate'), ('Kirby', 'Keith David'), ('Skip', 'Chris Tucker')]","Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.","['Action', 'Crime', 'Drama']",/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,1995
43,Restoration,Michael Hoffman,"[('Robert Merivel', 'Robert Downey Jr.'), ('Katharine', 'Meg Ryan'), ('King Charles II', 'Sam Neill')]","An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",['Drama'],/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,1995
44,Mortal Kombat,Paul W.S. Anderson,"[('Lord Rayden', 'Christopher Lambert'), ('Liu Kang', 'Robin Shou'), ('Johnny Cage', 'Linden Ashby')]","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","['Action', 'Adventure']",/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,1995
45,To Die For,Gus Van Sant,"[('Suzanne Stone Maretto', 'Nicole Kidman'), ('Larry Maretto', 'Matt Dillon'), ('Jimmy Emmett', 'Joaquin Phoenix')]","Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.","['Comedy', 'Drama']",/zCREx8trzejNieDLUsRuwLU0cS3.jpg,1995
46,How to Make an American Quilt,Jocelyn Moorhouse,"[('Finn Dodd', 'Winona Ryder'), ('Glady Joe Cleary', 'Anne Bancroft'), ('Hy Dodd', 'Ellen Burstyn')]","Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.","['Drama', 'Romance']",/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,1995
47,Seven (Se7en),David Fincher,"[('Detective David Mills', 'Brad Pitt'), ('Detective Lt. William Somerset', 'Morgan Freeman'), ('Tracy Mills', 'Gwyneth Paltrow')]","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","['Crime', 'Thriller']",/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,1995
48,Pocahontas,Mike Gabriel,"[('Pocahontas (voice)', 'Irene Bedard'), ('John Smith (voice)', 'Mel Gibson'), ('Governor Ratcliffe (voice)', 'David Ogden Stiers')]","History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","['Animation', ""Children's"", 'Musical', 'Romance']",/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,1995
49,When Night Is Falling,Patricia Rozema,"[('Camille Baker', 'Pascale Bussières'), ('Petra', 'Rachael Crawford'), ('Martin', 'Henry Czerny')]","A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.","['Drama', 'Romance']",/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,1995
50,"Usual Suspects, The",Bryan Singer,"[('Michael McManus', 'Stephen Baldwin'), ('Dean Keaton', 'Gabriel Byrne'), ('US Customs Agent Dave Kujan', 'Chazz Palminteri')]","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","['Crime', 'Thriller']",/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,1995
51,Guardian Angel,Richard W. Munchkin,"[('Cynthia Mckay', 'Cynthia Rothrock'), ('', 'Marshall R. Teague'), ('', 'Daniel McVicar')]","Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.","['Action', 'Drama', 'Thriller']",/hwbKoOSUuzuN2AQppnUxwwd4qOD.jpg,1994
52,Mighty Aphrodite,Woody Allen,"[('Lenny', 'Woody Allen'), ('Linda Ash', 'Mira Sorvino'), ('Amanda', 'Helena Bonham Carter')]","When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",['Comedy'],/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,1995
53,Lamerica,Gianni Amelio,"[('Gino', 'Enrico Lo Verso'), ('Fiore', 'Michele Placido'), ('Selimi', 'Piro Milkani')]","Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",['Drama'],/407nYlg60AOj95lqDZ4tvUTTm1k.jpg,1994
54,"Big Green, The",Holly Goldberg Sloan,"[('Sheriff Tom Palmer', 'Steve Guttenberg'), ('Miss Anna Mongomery', ""Olivia d'Abo""), ('Coach Jay Huffer', 'Jay O. Sanders')]","In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.","[""Children's"", 'Comedy']",/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg,1995
55,Georgia,Ulu Grosbard,"[('Sadie Flood', 'Jennifer Jason Leigh'), ('Georgia Flood', 'Mare Winningham'), ('Jake', 'Ted Levine')]","Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",['Drama'],/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg,1995
56,Kids of the Round Table,Robert Tinnell,"[('Alex Cole', 'Johnny Morina'), ('Merlin', 'Malcolm McDowell'), ('Jenny', 'Maggie Castle')]","Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.","['Adventure', ""Children's"", 'Fantasy']",/tL9ImxOccEshRlgmrKQabKH2tCd.jpg,1995
57,Home for the Holidays,Jodie Foster,"[('Claudia Larson', 'Holly Hunter'), ('Tommy Larson', 'Robert Downey Jr.'), ('Adele Larson', 'Anne Bancroft')]","After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",['Drama'],/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,1995
58,"Postino, Il (The Postman)",Michael Radford,"[('Pablo Neruda', 'Philippe Noiret'), ('Mario Ruoppolo', 'Massimo Troisi'), ('Beatrice Russo', 'Maria Grazia Cucinotta')]",Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,"['Drama', 'Romance']",/qkq2JfINRQi4Iu9VTMMtQFfmGWZ.jpg,1994
